f1-micro:0.932094, f1-macro:0.649012, score12:0.790553
f1-micro:0.937030, f1-macro:0.737215, score12:0.837122
f1-micro:0.939869, f1-macro:0.759830, score12:0.849850
f1-micro:0.941821, f1-macro:0.776061, score12:0.858941
f1-micro:0.943275, f1-macro:0.780321, score12:0.861798
f1-micro:0.943198, f1-macro:0.795025, score12:0.869111
f1-micro:0.942788, f1-macro:0.803573, score12:0.873181
f1-micro:0.942716, f1-macro:0.811133, score12:0.876925
f1-micro:0.942536, f1-macro:0.810508, score12:0.876522
f1-micro:0.941919, f1-macro:0.811861, score12:0.876890
